State,Year,Active Listing Count ,Avg Listing Price
 ND,2017,24148,288420.6349
 NE,2012,45881,178766.9887
 NE,2013,63766,188840.6926
 NE,2014,63220,210299.7835
 NE,2015,52664,225829.3991
 NE,2016,47339,245456.0897
 NE,2017,32151,268468.661
 NH,2012,119091,290854.142
 NH,2013,153793,307731.6075
 NH,2014,168950,319435.9961
 NH,2015,147414,329595.7101
 NH,2016,121819,347499.1617
 NH,2017,72926,366325.5753
 NJ,2012,593838,452909.4518
 NJ,2013,774549,462860.4337
 NJ,2014,783230,470829.5082
 NJ,2015,756058,482422.7288
 NJ,2016,709049,498725.8026
 NJ,2017,464601,513472.2222
 NM,2012,91101,322977.1605
 NM,2013,142105,316250.3086
 NM,2014,149570,313873.1481
 NM,2015,130728,318822.0165
 NM,2016,119730,322491.8724
 NM,2017,82865,331977.7778
 NV,2012,198277,338565.9119
 NV,2013,254059,373323.2993
 NV,2014,229327,406813.3503
 NV,2015,165088,446261.7253
 NV,2016,196754,511191.5
 NV,2017,140385,539743.7778
 NY,2012,684194,447639.073
 NY,2013,921434,466429.8256
 NY,2014,976869,504659.6357
 NY,2015,968156,564230.007
 NY,2016,872307,589501.188
 NY,2017,585951,610412.7185
 OH,2012,603232,165322.2683
 OH,2013,841654,167756.7314
 OH,2014,777644,175871.4264
 OH,2015,674637,185341.5425
 OH,2016,633385,194857.931
 OH,2017,381337,208548.7337
 OK,2012,154709,182585.8848
 OK,2013,218307,184564.9813
 OK,2014,220360,192533.0993
 OK,2015,196100,206281.6479
 OK,2016,194256,211211.7509
 OK,2017,146362,218951.623
 OR,2012,188849,329540.2336
 OR,2013,252540,353046.7014
 OR,2014,254675,371566.4497
 OR,2015,211966,407175.8755
 OR,2016,182447,448433.1174
 OR,2017,127225,475885.4347
 PA,2012,651455,236598.6118
 PA,2013,911544,239854.9684
 PA,2014,914530,245485.7831
 PA,2015,843173,251869.5354
 PA,2016,732008,263365.0615
 PA,2017,489259,275470.8713
 RI,2012,54175,413670.5357
 RI,2013,70367,420917.4107
 RI,2014,71453,429414.7321
 RI,2015,68549,432419.1964
 RI,2016,61430,444694.0476
 RI,2017,32316,493233.1349
 SC,2012,379158,266452.8736
 SC,2013,547439,267999.2248
 SC,2014,572445,273344.4574
 SC,2015,517195,289903.29
 SC,2016,488360,309259.0944
 SC,2017,332083,326567.1233
 SD,2012,29483,226414.8649
